match_id,winner,map,region,date_time
1076539238,1,Ranked Splitstone Quarry,Latin America North,3/27/2021 5:07:48 AM
1076539271,0,Ranked Warder's Gate,Latin America North,3/27/2021 5:08:03 AM
1076539298,0,Ranked Jaguar Falls,Brazil,3/27/2021 5:08:12 AM
1076539370,0,Ranked Frog Isle,Latin America North,3/27/2021 5:08:38 AM
1076539396,0,Ranked Jaguar Falls,Southeast Asia,3/27/2021 5:08:47 AM
1076539437,0,Ranked Serpent Beach,Latin America North,3/27/2021 5:09:03 AM
1076539502,0,Ranked Frozen Guard,Latin America North,3/27/2021 5:09:27 AM
1076539522,0,Ranked Frog Isle,NA,3/27/2021 5:09:35 AM
1076539548,0,Ranked Frozen Guard,Latin America North,3/27/2021 5:09:45 AM
1076539550,1,Ranked Ascension Peak,Brazil,3/27/2021 5:09:46 AM
1076539567,1,Ranked Frog Isle,Brazil,3/27/2021 5:09:53 AM
1076539568,1,Ranked Ice Mines,NA,3/27/2021 5:09:54 AM
1076539730,1,Ranked Frog Isle,NA,3/27/2021 5:10:55 AM
1076539735,1,Ranked Ice Mines,EU,3/27/2021 5:10:58 AM
1076539759,0,Ranked Frog Isle,Brazil,3/27/2021 5:11:07 AM
1076539761,0,Ranked Jaguar Falls,Latin America North,3/27/2021 5:11:08 AM
1076539812,0,Ranked Frozen Guard,Brazil,3/27/2021 5:11:28 AM
1076539901,1,Ranked Timber Mill,Southeast Asia,3/27/2021 5:12:01 AM
1076539935,1,Ranked Serpent Beach,Brazil,3/27/2021 5:12:15 AM
1076539951,1,Ranked Stone Keep,NA,3/27/2021 5:12:21 AM
1076539965,0,Ranked Stone Keep,Brazil,3/27/2021 5:12:26 AM
1076539978,0,Ranked Warder's Gate,Latin America North,3/27/2021 5:12:30 AM
1076540002,1,Ranked Serpent Beach,Brazil,3/27/2021 5:12:41 AM
1076540010,1,Ranked Warder's Gate,Brazil,3/27/2021 5:12:45 AM
1076540025,0,Ranked Ice Mines,NA,3/27/2021 5:12:51 AM
1076540059,1,Ranked Frog Isle,NA,3/27/2021 5:13:04 AM
1076540063,1,Ranked Frog Isle,Brazil,3/27/2021 5:13:05 AM
1076540093,0,Ranked Ice Mines,Brazil,3/27/2021 5:13:15 AM
1076540130,0,Ranked Jaguar Falls,NA,3/27/2021 5:13:28 AM
1076540149,1,Ranked Frozen Guard,NA,3/27/2021 5:13:37 AM
1076540180,0,Ranked Frozen Guard,NA,3/27/2021 5:13:47 AM
1076540274,0,Ranked Frog Isle,Brazil,3/27/2021 5:14:23 AM
1076540366,0,Ranked Ice Mines,Brazil,3/27/2021 5:15:02 AM
1076540372,0,Ranked Frozen Guard,NA,3/27/2021 5:15:04 AM
1076540381,0,Ranked Frog Isle,Latin America North,3/27/2021 5:15:07 AM
1076540446,1,Ranked Jaguar Falls,NA,3/27/2021 5:15:33 AM
1076540447,0,Ranked Warder's Gate,Latin America North,3/27/2021 5:15:33 AM
1076540465,1,Ranked Splitstone Quarry,Brazil,3/27/2021 5:15:41 AM
1076540492,0,Ranked Frozen Guard,Southeast Asia,3/27/2021 5:15:53 AM
1076540494,1,Ranked Splitstone Quarry,EU,3/27/2021 5:15:54 AM
1076540558,1,Ranked Timber Mill,EU,3/27/2021 5:16:21 AM
1076540594,1,Ranked Frozen Guard,NA,3/27/2021 5:16:36 AM
1076540599,0,Ranked Frozen Guard,Latin America North,3/27/2021 5:16:37 AM
